,_unit_id,civilians,militants_terrorists_insurgents,security_forces,districtmatch,eventid,report_date,state_full,svmlabel1,svmlabel1prob,verb
62,711601405,5.0,0.0,0.0,anantnag,675,04-01-2000,Jammu and Kashmir,civilian,0.9302047520000001,killed
63,711601406,0.0,2.0,0.0,nizamabad,680,04-01-2000,Andhra Pradesh,civilian,0.707255539,killed
64,711601407,1.0,0.0,0.0,nizamabad,680,04-01-2000,Andhra Pradesh,civilian,0.707255539,killed
65,711601408,0.0,3.0,0.0,cuddalore,684,04-01-2000,,civilian,0.762254489,arrested
66,711601409,0.0,0.0,0.0,jammu,705,04-03-2000,Jammu and Kashmir,civilian,0.774558953,killed
67,711601410,0.0,43.0,0.0,bongaigaon,714,04-03-2000,Assam,civilian,0.572643856,surrendered
68,711601411,0.0,1.0,0.0,kupwara,738,04-03-2000,,terrorist,0.997913411,killed
69,711601412,0.0,1.0,0.0,baramulla,739,04-03-2000,,terrorist,0.992864518,killed
70,711601413,0.0,1.0,0.0,rajouri,740,04-03-2000,,terrorist,0.9936236970000001,killed
71,711601414,0.0,1.0,0.0,muzaffarnagar,749,04-03-2000,,terrorist,0.9936237640000001,arrested
72,711601415,3.0,,,east godavari,769,04-03-2000,,terrorist,0.504141894,arrested
73,711601416,7.0,,,anantnag,784,04-04-2000,Jammu and Kashmir,civilian,0.774558953,killed
74,711601417,11.0,0.0,0.0,anantnag,784,04-04-2000,Jammu and Kashmir,civilian,0.707255539,injured
75,711601418,2.0,,,bandipore,788,04-04-2000,Jammu and Kashmir,civilian,0.895373713,killed
76,711601419,0.0,1.0,0.0,doda,791,04-04-2000,Jammu and Kashmir,terrorist,0.991938439,killed
77,711601420,0.0,1.0,0.0,doda,791,04-04-2000,Jammu and Kashmir,civilian,0.707255539,injured
78,711601421,0.0,4.0,0.0,ramrup,810,04-04-2000,Assam,terrorist,0.943280475,arrested
79,711601422,0.0,5.0,0.0,west tripura,812,04-04-2000,Tripura,terrorist,0.9792185259999999,arrested
80,711601423,0.0,5.0,0.0,west tripura,812,04-04-2000,Tripura,security,0.649900677,arrested
81,711601424,0.0,3.0,0.0,north tripura,813,04-04-2000,Tripura,terrorist,0.985432158,arrested
82,711601425,4.0,0.0,0.0,pulwama,852,04-05-2000,Jammu and Kashmir,civilian,0.895373713,killed
83,711601426,3.0,0.0,0.0,pulwama,852,04-05-2000,Jammu and Kashmir,civilian,0.7795220359999999,injured
84,711601427,0.0,1.0,0.0,rajouri,890,04-06-2000,,terrorist,0.9792185259999999,killed
85,711601428,0.0,1.0,0.0,rajouri,890,04-06-2000,,terrorist,0.9792185259999999,killed
86,711601429,2.0,0.0,1.0,baramullah,891,04-06-2000,,security,0.999962765,killed
87,711601430,1.0,,,baramullah,891,04-06-2000,,civilian,0.9268093629999999,killed
88,711601431,0.0,0.0,5.0,churachandpur,939,04-07-2000,Manipur,security,0.9849890440000001,killed
89,711601432,0.0,3.0,0.0,kathua,951,04-07-2000,Jammu and Kashmir,terrorist,0.9834246990000001,arrested
90,711601433,2.0,0.0,0.0,anantnag,960,04-07-2000,Jammu and Kashmir,civilian,0.895373713,killed
91,711601434,0.0,0.0,2.0,badgam,999,04-08-2000,Jammu and Kashmir,civilian,0.669507321,killed
92,711601435,0.0,2.0,0.0,rajouri,1000,04-08-2000,Jammu and Kashmir,terrorist,0.9834246990000001,killed
93,711601436,1.0,0.0,0.0,badgam,1002,04-08-2000,Jammu and Kashmir,civilian,0.9659409170000001,killed
94,711601437,0.0,0.0,0.0,nagaon,1022,04-08-2000,Assam,terrorist,0.986631112,arrested
95,711601438,,5.0,,baramulla,1044,04-10-2000,Jammu and Kashmir,terrorist,0.995573645,killed
96,711601439,0.0,3.0,3.0,bandipora,1046,04-10-2000,Jammu and Kashmir,security,0.9434280079999999,killed
97,711601440,0.0,3.0,0.0,kathua,1051,04-10-2000,Jammu and Kashmir,terrorist,0.9871243609999999,arrested
